"","location","obs","ens_mean","ens_sd","yday","TD_2M_mean","ASOB_S_mean","ens_1","ens_2","ens_3","ens_4","ens_5","ens_6","ens_7","ens_8","ens_9","ens_10","ens_11","ens_12","ens_13","ens_14","ens_15","ens_16","ens_17","ens_18","ens_19","ens_20"
"1","1",7.91740143054709,8.7692784767744,1.3583568566583,0.966847813605277,275.693284182279,24.0238337858271,8.37338998601312,9.48440612844465,7.58949128242649,8.28746308657026,9.60596011967667,10.84855330568,10.5857591616252,10.3114879661162,11.4755638382572,10.7320291534612,8.06657995117436,8.13350182896897,7.98106090423801,8.13314443059722,8.456059803662,7.69068091496298,7.81617737570031,7.0901045019454,7.44474741826283,7.27940837770484
"2","2",4.95379848782607,5.02717677978483,1.35648670535097,0.966847813605277,275.636280449931,26.1137709641618,3.94785841241284,4.08567687508135,4.99379583542962,3.37683990943405,4.13459581448404,5.55039297805598,5.78893752538366,6.2498627206751,7.0637763827481,6.80447491993681,5.67873921270706,6.33600687293259,5.89982856884901,6.20635693391945,6.9268517005408,3.52328428390903,3.83181813348037,3.38166837819879,3.28414029834311,3.47862983917475
"3","3",8.33226511492992,9.14017784773426,0.989721749237634,0.966847813605277,273.763904573366,13.3410793134813,8.26770105727169,9.50757625132677,9.35096420006584,8.229534393381,9.92885040830562,9.78170962848164,10.7733839210975,10.4238103914344,10.0301696957808,11.2980971908613,8.62457153829214,8.1221307780994,8.50404711461697,8.89929251660388,9.31395482889471,8.02168426571657,8.16332291441408,8.08056403481586,8.19225773458918,9.28993409063591
"4","4",9.3713449830374,7.96923980501239,0.777874992383069,0.966847813605277,276.360439587199,35.6218299415505,7.6256592232094,7.45188537967749,8.47140740186147,7.77736991662139,7.47968335256059,7.47304936865491,7.08657876074949,7.5932897435464,8.60543613206752,7.84137789570765,9.19378313556748,9.10124409893526,8.58324194731367,9.22524189095204,9.26013873271176,7.08067413066425,7.271536854542,6.92927086139656,7.50556103605345,7.82836623745506
"5","5",9.92176167193161,8.59139305083077,0.921988793702027,0.966847813605277,273.899792405153,20.1588075115766,8.83702670704461,7.37674018794924,8.97234798559293,8.34068976237542,8.08457722815867,9.81989279644648,9.18970892895099,8.71863963323215,9.20029226053185,9.34373601670076,9.50833855849028,9.57392231457467,9.79216281492783,9.22202673914931,8.90762738970109,7.8287851435463,7.44429113777392,7.42966875881139,7.1246798911812,7.11270676147637
"6","6",9.96244177044218,8.75308108882937,1.35733040813194,0.966847813605277,276.114354323668,44.2671233167931,7.80594869734737,8.91748193371802,8.19480767719868,8.99825840789218,8.60862667543397,9.98675455054543,9.85825961436219,9.99968575926616,10.1512559727835,9.99285962390506,9.52194428594698,9.49390136383763,8.7709825426467,9.9339885530403,10.807390783664,6.9548437329158,6.67411791412767,6.92583602941656,6.52971425972316,6.93496339881602
"7","7",9.77188365210893,9.85753019039444,1.1436226944651,0.966847813605277,276.142746130701,42.0175209594483,9.15655642829053,8.81386589043083,9.11677166978633,9.41374895119078,10.3475420793754,9.1794040308108,8.00978443108117,7.97964747150809,8.16684294608967,8.69104719468227,11.2022662847495,10.6202991066151,10.4890767922094,11.1118065163391,11.2287002515906,10.5316630399261,10.3588111487873,10.7874220488705,10.546168503744,11.3991790218113
"8","8",9.49806326112457,7.24631667640473,0.512268529596807,0.966847813605277,277.661955892301,44.4499569670905,7.38228314423752,6.95350908834551,6.26249509786817,6.9895223879767,7.54498120626207,7.54027449334889,7.87464873048595,6.59841764434892,7.1448592225476,7.17368626540427,8.04274042500557,7.94420603840594,7.83749239120988,7.68502998118943,7.05371705691778,7.1154683955034,6.97905314535903,6.40911602609145,6.78058059147617,7.61425219611031
"9","9",9.43927941512869,7.74288492451443,0.819036881079806,0.966847813605277,276.389410181277,45.6722676100851,6.27440642948009,7.76629400250055,6.9614774512975,6.82414418452636,8.37691629497033,9.04339389650329,7.60907631736528,8.67761965684003,7.60084723809456,8.80618903315495,8.42696352340317,8.11821235586789,8.62983645519728,7.99711534489109,8.30961299738963,6.56570065754822,6.50026642519461,7.29135993465292,7.54638398765952,7.53188230375127
"10","10",6.25295032863412,9.0775620130396,0.842237042472264,0.966847813605277,272.661309227109,47.4717106107993,8.03639670698566,8.75811499126388,8.59844391166027,7.90549777247588,8.62136666245169,9.08682504825404,10.3754948797791,10.1033937077635,10.1212948828343,10.5100858563871,9.77536996131817,8.82075893864585,9.4677203405967,9.65483036749406,9.6157511611868,8.66850492611968,8.36553950246119,8.93627427900213,7.55088320246013,8.57869316165181
